id,name,current_L1_mapping
1431,"'@Risk (Atlantic Region)", the Service Desk simply needs to send a ServiceNow ticket to Deskside Support Recently we have Configured the Palisade licenses to be shared between East Coast and Calgary. we transferred licenses from WSAPPLIC002PD to server ARSJLIC02PD these included:   � 1 @RISK Professional License. � 1 PrecisionTree License.  Currently the licenses are hosted on the license server azuap00027 for @Risk V7.6.1. However
1431,"'@Risk (Atlantic Region)", the Service Desk simply needs to send a ServiceNow ticket to Deskside Support Recently we have Configured the Palisade licenses to be shared between East Coast and Calgary. we transferred licenses from WSAPPLIC002PD to server ARSJLIC02PD these included:   � 1 @RISK Professional License. � 1 PrecisionTree License.  Currently the licenses are hosted on the license server azuap00027 for @Risk V7.6.1. However
1523,"AAPG Archives","Geological Info Management"
842,"AAPG Datapages", a non-profit organization serving the needs of petroleum geology professionals and students worldwide. Acting as the digital publisher for AAPG and the geoscience community
382,"ABB Smart Client","Facilities Control"
1662,"AER ST44 Alberta Reserves Data","Reserves Management"
1661,"AER ST98 Alberta Reserves Data","Reserves Management"
523,AESO,"Facilities Control"
523,AESO,"Operations Management"
1442,AGAT,"Personal Safety"
1442,AGAT,"Regulatory Compliance"
597,AQTESOLV, constant-head tests) in confined
1566,AQTESOLV, constant-head tests) in confined
518,"ATMS (Atlantic Region)", Operations.� Also now starting to implement for Superior Refinery Rebuild."
639,"AVEVA - WWR", allowing engineers from different disciplines to collaborate in real-time on site and from anywhere in the world.  Engineering data is at the heart of every major capital project. A data-centric approach is key to ensuring your global engineering teams communicate and collaborate effectively.<p></p>Tier 1 Support: Atlantic Region Service Desk"
639,"AVEVA - WWR", allowing engineers from different disciplines to collaborate in real-time on site and from anywhere in the world.  Engineering data is at the heart of every major capital project. A data-centric approach is key to ensuring your global engineering teams communicate and collaborate effectively.<p></p>Tier 1 Support: Atlantic Region Service Desk"
1252,"AbaData (CVE)","Geological Info Management"
1252,"AbaData (CVE)","Land Management"
1253,"AbaData (LHSE)","Geological Info Management"
1253,"AbaData (LHSE)","Land Management"
1965,"Able2Extract Pro",
513,Acculogs, perfs and cores from original source documents for the Western Canadian Sedimentary Basin"
514,Acculogs,"Geological Info Management"
515,Accumap,"IHS Markit Canada"
515,Accumap,"IHS Markit Canada"
516,Accumap, well
516,Accumap, well
1740,Actenum,"Well Design & Planning"
521,"Active Risk Manager (Atlantic Region)", ARM delivers far more value and capability to its users. With its robust and unique integrated approach
522,"Acumen Fuse", and evaluation of the  impact of changes made."
110,"Alberta Environment and Parks - EDS (web app)", perform real time validation through the web interface. Business rule violations will be displayed back to the industry client at the time of data entry to the database
110,"Alberta Environment and Parks - EDS (web app)", perform real time validation through the web interface. Business rule violations will be displayed back to the industry client at the time of data entry to the database
1828,"All West Survey Web","Geological Info Management"
1439,AltaLIS,"Geological Info Management"
1439,AltaLIS,"Land Management"
563,Ansys,""
563,Ansys,""
598,"ArcGIS Enterprise", provides access to rich GIS functionality and is built using industry standards. ArcGIS Enterprise supports geographic data management
599,"ArcGIS Pro", visualize
603,Ariel,"XI Technologies"
602,"Ariel Compressor","Process/Facilities Optimization"
1524,"Aspen Engineering Suite (Atlantic Region)","Process/Facilities Optimization"
1524,"Aspen Engineering Suite (Atlantic Region)","Operations Management"
1297,"AspenTech Geolog","Geological Info Management"
1297,"AspenTech Geolog","Geological Execution"
974,"AspenTech Geolog (Atlantic Region)","Aspen Technology Inc."
611,"Asset Bulk Loader","Maintenance Planning"
1891,"Asset Registry (Atlantic Region)","Capital Asset Management"
1068,"Atlas Metafile Viewer", and print Baker Hughes META files and  industry CGM files
614,"Attribute Studio", calibration and  interpretation. With Attribute Studio
614,"Attribute Studio", calibration and  interpretation. With Attribute Studio
805,"Audit Tracker (Atlantic Region)","Audit & Compliance"
629,Autodesk, engineers
1593,Autoplant,"Facility Design"
565,"Avenza Maps","Geological Info Management"
638,Aveva, and scalable software for deploying advanced SCADA
638,Aveva, and scalable software for deploying advanced SCADA
642,AxHeat, fluid temperatures
642,AxHeat, fluid temperatures
1672,"Beaconsuite Admin Tools", Doctor
1673,"Beaconsuite InfoGen",
635,"Bentley AutoPlant XM", and raceway designs. It helps save time and money by increasing collaboration across the project design team."
1187,"Bentley Microstation", flexibility
1913,"Bentley Navigator (Atlantic Region)", in the office
1913,"Bentley Navigator (Atlantic Region)", in the office
1318,"Bently CMS (Atlantic Region)",""
1907,"BlueBack / Cegal (Atlantic Region)", Consultancy.<p></p>Tier 1:     Atlantic Region Service Desk  Tier 2:     Jeff Ball  Tier 3:"
